Method,Dialect,Fold,,H,N,accuracy,macro avg,weighted avg
albertina_base,PT_PT,fold_9,f1-score,"0,6405228758169935","0,485981308411215","0,5769230769230769","0,5632520921141042","0,5632520921141042"
albertina_base,PT_PT,fold_9,support,"65,0","65,0","0,5769230769230769","130,0","130,0"
all_features,PT_BR,fold_0,precision,"0,2517482517482518","0,25597269624573377","0,2538860103626943","0,25386047399699274","0,2538568259447497"
all_features,PT_BR,fold_0,recall,"0,2482758620689655","0,25951557093425603","0,2538860103626943","0,2538957165016108","0,2538860103626943"
all_features,PT_BR,fold_0,f1-score,"0,25000000000000006","0,2577319587628865","0,2538860103626943","0,2538659793814433","0,25385930238769294"
all_features,PT_BR,fold_0,support,"290,0","289,0","0,2538860103626943","579,0","579,0"
all_features,PT_BR,fold_1,precision,"0,25806451612903225","0,21933085501858737","0,24006908462867013","0,23869768557380983","0,23873113433124543"
all_features,PT_BR,fold_1,recall,"0,27586206896551724","0,2041522491349481","0,24006908462867013","0,24000715905023268","0,24006908462867013"
all_features,PT_BR,fold_1,f1-score,"0,26666666666666666","0,2114695340501792","0,24006908462867013","0,23906810035842294","0,23911576627605377"
all_features,PT_BR,fold_1,support,"290,0","289,0","0,24006908462867013","579,0","579,0"
all_features,PT_BR,fold_2,precision,"0,21453287197231835","0,21379310344827587","0,2141623488773748","0,21416298771029713","0,21416362654321944"
all_features,PT_BR,fold_2,recall,"0,21379310344827587","0,21453287197231835","0,2141623488773748","0,21416298771029713","0,2141623488773748"
all_features,PT_BR,fold_2,f1-score,"0,21416234887737476","0,21416234887737476","0,2141623488773748","0,21416234887737476","0,21416234887737476"
all_features,PT_BR,fold_2,support,"290,0","289,0","0,2141623488773748","579,0","579,0"
all_features,PT_BR,fold_3,precision,"0,24647887323943662","0,2542372881355932","0,2504317789291883","0,2503580806875149","0,25035138084736275"
all_features,PT_BR,fold_3,recall,"0,2413793103448276","0,25951557093425603","0,2504317789291883","0,25044744063954183","0,2504317789291883"
all_features,PT_BR,fold_3,f1-score,"0,24390243902439024","0,2568493150684931","0,2504317789291883","0,2503758770464417","0,25036469666989236"
all_features,PT_BR,fold_3,support,"290,0","289,0","0,2504317789291883","579,0","579,0"
all_features,PT_BR,fold_4,precision,"0,24054982817869416","0,23958333333333334","0,24006908462867013","0,24006658075601375","0,24006574613179496"
all_features,PT_BR,fold_4,recall,"0,2422145328719723","0,23793103448275862","0,24006908462867013","0,24007278367736545","0,24006908462867013"
